bloco	ad	formato	identifier
01-charge	01	feed	IfQeoEztvE
01-charge	02	feed	jUO5rWJLD0
01-charge	03	feed	SyNxlIkUb8
01-charge	04	feed	WDX2nNzcXe
01-charge	05	feed	jUOKSKILD0
01-charge	06	feed	WDXADoIcXe
01-charge	07	feed	dtaVt4tXSL
01-charge	08	feed	Eb1hbXBuuO
01-charge	09	feed	iGWPzZl3uK
01-charge	10	feed	rg7bS9sxtc
02-ugc-nativo	11	feed	O6ZS3Yaynm
02-ugc-nativo	12	feed	SyNj4VoUb8
02-ugc-nativo	13	feed	Td8nBwBVNR
02-ugc-nativo	14	feed	xSJ5wuJjfW
02-ugc-nativo	15	feed	tCFXQv8mZJ
02-ugc-nativo	16	feed	gO9x4RkSXO
02-ugc-nativo	17	feed	MBtWtXSDCm
02-ugc-nativo	18	feed	vQb8bgEa47
02-ugc-nativo	19	feed	UP6L6IDwny
02-ugc-nativo	20	feed	xSJ5JCSjfW
03-hq-pulp	21	feed	jUOKyEWLD0
03-hq-pulp	22	feed	4RG7zyr9Aa
03-hq-pulp	23	feed	s7P1990l8e
03-hq-pulp	24	feed	s7P19WUl8e
03-hq-pulp	25	feed	lJ4rNtIgv9
03-hq-pulp	26	feed	VXIYm2zMMU
03-hq-pulp	27	feed	gO9xihiSXO
03-hq-pulp	28	feed	dtaVEnfXSL
03-hq-pulp	29	feed	lJ4riUlgv9
03-hq-pulp	30	feed	4RG7WWy9Aa
01-charge	01	stories	UP6LDVUwny
01-charge	02	stories	nVeZFjrYQD
01-charge	03	stories	gO9xVHPSXO
01-charge	04	stories	BhCDg8noQR
01-charge	05	stories	Cqkm9LMEEy
01-charge	06	stories	KLSFGztkqp
01-charge	07	stories	UP6Lenrwny
01-charge	08	stories	SyNjp8VUb8
01-charge	09	stories	fHKt9D6CDY
01-charge	10	stories	LwykVSAswO
